date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_100,ema_diff_100,ema_1,ema_diff_1,ema_20,ema_diff_20,ema_5,ema_diff_5,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,vol_short,vol_long,vol_ratio_strategic,drawdown,max_drawdown_window,atr_pct,atr_pct_ma,atr_pct_ratio,vol_state,allow_trading,recommended_leverage,max_exposure_frac,stake_long_frac,stake_short_frac,stop_loss_frac,take_profit_frac,max_hold_hours
2025-12-15 06:00:00,89615.25,89918.48,89476.98,89735.88,262.41654,0.00135,-0.00058,0.00431,-0.00044,0.00878,-0.00097,90191.14442,455.26442,89735.88,0.0,89263.74387,-472.13613,89492.72601,-243.15399,441.5,543.72143,0.00344,0.0022,1.0,0.0,0.0,1.0,high_vol,0.00296,0.00457,0.64749,-0.00948,-0.03336,0.00606,0.00621,0.97499,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 07:00:00,89735.89,89824.47,89516.0,89753.42,424.17802,0.0002,0.00135,-0.00058,0.00431,0.00089,-0.0013,90182.47661,429.05661,89753.42,0.0,89310.37969,-443.04031,89579.62401,-173.79599,308.47,535.35071,0.00312,0.0022,0.96593,-0.25882,0.0,1.0,high_vol,0.00295,0.00457,0.6451,-0.00929,-0.03336,0.00596,0.0062,0.96156,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 08:00:00,89753.43,89900.0,89655.52,89770.01,250.02319,0.00018,0.0002,0.00135,-0.00058,-0.00044,-0.00032,90174.30896,404.29896,89770.01,0.0,89354.15401,-415.85599,89643.08601,-126.92399,244.48,527.74286,0.00307,0.00219,0.86603,-0.5,0.0,1.0,high_vol,0.00294,0.00456,0.64329,-0.00911,-0.03336,0.00588,0.00619,0.94927,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 09:00:00,89770.0,89986.68,89770.0,89865.12,310.4569,0.00106,0.00018,0.0002,0.00135,0.00431,-0.00275,90168.18641,303.06641,89865.12,0.0,89402.81743,-462.30257,89717.09734,-148.02266,216.68,507.48714,0.00298,0.00219,0.70711,-0.70711,0.0,1.0,trend,0.00294,0.00456,0.64424,-0.00806,-0.03336,0.00565,0.00618,0.91367,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 10:00:00,89865.13,89981.64,89717.34,89858.95,470.70514,-7e-05,0.00106,0.00018,0.0002,-0.00058,0.00333,90162.06291,303.11291,89858.95,0.0,89446.25863,-412.69137,89764.38156,-94.56844,264.3,492.73643,0.00296,0.00217,0.5,-0.86603,0.0,1.0,trend,0.00292,0.00456,0.63945,-0.00534,-0.03336,0.00548,0.00617,0.8892,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 11:00:00,89858.96,89900.0,89572.05,89641.28,493.20463,-0.00242,-7e-05,0.00106,0.00018,0.00135,0.00878,90151.75038,510.47038,89641.28,0.0,89464.8321,-176.4479,89723.34771,82.06771,327.95,489.82429,0.00292,0.00216,0.25882,-0.96593,0.0,1.0,trend,0.00273,0.00456,0.59745,-0.00775,-0.03336,0.00546,0.00616,0.88732,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 12:00:00,89641.28,89762.56,89431.52,89695.75,392.24774,0.00061,-0.00242,-7e-05,0.00106,0.0002,0.00089,90142.72067,446.97067,89695.75,0.0,89486.82428,-208.92572,89714.14847,18.39847,331.04,471.46571,0.00286,0.00216,0.0,-1.0,0.0,1.0,trend,0.00272,0.00456,0.59738,-0.00713,-0.03336,0.00526,0.00615,0.85433,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 13:00:00,89695.76,89736.9,89274.44,89432.0,415.38225,-0.00294,0.00061,-0.00242,-7e-05,0.00018,-0.00044,90128.64699,696.64699,89432.0,0.0,89481.60292,49.60292,89620.09898,188.09898,462.46,430.79429,0.00184,0.0022,-0.25882,-0.96593,0.0,1.0,trend,0.00279,0.00456,0.61242,-0.01005,-0.03336,0.00482,0.00614,0.78393,0.0,1.0,5.0,1.0,0.2,0.1,0.015,0.03,8.0
2025-12-15 14:00:00,89432.01,89876.42,87840.0,88050.01,1787.73645,-0.01545,-0.00294,0.00061,-0.00242,0.00106,0.00431,90087.48586,2037.47586,88050.01,0.0,89345.26073,1295.25073,89096.73599,1046.72599,2036.42,532.115,0.00485,0.00311,-0.5,-0.86603,0.0,1.0,high_vol,0.00414,0.00468,0.88509,-0.02535,-0.03336,0.00604,0.00614,0.98379,0.0,1.0,2.0,1.0,0.1,0.05,0.03,0.06,2.0
2025-12-15 15:00:00,88050.0,88184.28,86621.91,87033.22,3292.66278,-0.01155,-0.01545,-0.00294,0.00061,-7e-05,-0.00058,90027.00535,2993.78535,87033.22,0.0,89125.06638,2091.84638,88408.89732,1375.67732,1562.37,578.71714,0.00569,0.00349,-0.70711,-0.70711,0.0,1.0,high_vol,0.00472,0.0047,1.00306,-0.0366,-0.0366,0.00665,0.00614,1.08219,1.0,1.0,2.0,0.6,0.1,0.05,0.03,0.06,2.0
