date,open,high,low,close,volume,ret1,ret_lag_1,ret_lag_2,ret_lag_3,ret_lag_5,ret_lag_10,ema_100,ema_diff_100,ema_1,ema_diff_1,ema_20,ema_diff_20,ema_5,ema_diff_5,tr,atr14,vol_12,vol_48,hour_sin,hour_cos,dow_sin,dow_cos,regime,vol_short,vol_long,vol_ratio_strategic,drawdown,max_drawdown_window,atr_pct,atr_pct_ma,atr_pct_ratio,vol_state
2026-05-21 13:00:00,77278.52,77358.05,76719.47,77122.68,862.17497,-0.00202,0.00116,-0.00012,-0.0056,0.00046,0.00158,77586.69684,464.01684,77122.68,0.0,77524.8184,402.1384,77306.19361,183.51361,638.58,360.69929,0.00259,0.00267,-0.25882,-0.96593,0.43388,-0.90097,chop,0.0026,0.00344,0.75685,-0.01224,-0.0258,0.00468,0.00466,1.0034,0.0
2026-05-21 14:00:00,77122.67,77240.82,76788.8,76984.61,697.95187,-0.00179,-0.00202,0.00116,-0.00012,-0.00374,-0.00055,77574.77433,590.16433,76984.61,0.0,77473.36999,488.75999,77198.99907,214.38907,452.02,353.95643,0.00252,0.00252,-0.5,-0.86603,0.43388,-0.90097,chop,0.00254,0.00321,0.79028,-0.01401,-0.02415,0.0046,0.00465,0.98789,0.0
2026-05-21 15:00:00,76984.61,77402.12,76900.0,77259.46,411.10449,0.00357,-0.00179,-0.00202,0.00116,-0.0056,-0.00266,77568.53048,309.07048,77259.46,0.0,77452.99761,193.53761,77219.15271,-40.30729,502.12,363.16857,0.00276,0.00256,-0.70711,-0.70711,0.43388,-0.90097,chop,0.00265,0.0032,0.82784,-0.01049,-0.02056,0.0047,0.00465,1.01164,0.0
2026-05-21 16:00:00,77259.45,77344.01,77008.75,77207.93,404.33559,-0.00067,0.00357,-0.00179,-0.00202,-0.00012,-0.00265,77561.38988,353.45988,77207.93,0.0,77429.65783,221.72783,77215.41181,7.48181,335.26,367.12286,0.00276,0.00246,-0.86603,-0.5,0.43388,-0.90097,chop,0.00264,0.00315,0.83749,-0.01115,-0.02056,0.00475,0.00464,1.0253,0.0
2026-05-21 17:00:00,77207.92,78098.16,77181.83,77869.38,1291.96294,0.00857,-0.00067,0.00357,-0.00179,0.00116,0.00344,77567.48869,-301.89131,77869.38,0.0,77471.53614,-397.84386,77433.40121,-435.97879,916.33,418.94286,0.00381,0.00275,-0.96593,-0.25882,0.43388,-0.90097,chop,0.00312,0.00322,0.9697,-0.00268,-0.02056,0.00538,0.00463,1.16171,0.0
2026-05-21 18:00:00,77869.38,77922.01,77230.0,77387.74,559.91554,-0.00619,0.00857,-0.00067,0.00357,-0.00202,0.00046,77563.92931,176.18931,77387.74,0.0,77463.55555,75.81555,77418.1808,30.4408,692.01,453.04,0.00416,0.0029,-1.0,-0.0,0.43388,-0.90097,chop,0.00336,0.00325,1.03266,-0.00885,-0.02024,0.00585,0.00463,1.26512,1.0
2026-05-21 19:00:00,77387.74,77802.51,77365.97,77690.56,437.10444,0.00391,-0.00619,0.00857,-0.00067,-0.00179,-0.00374,77566.43685,-124.12315,77690.56,0.0,77485.17502,-205.38498,77508.97387,-181.58613,436.54,453.355,0.0042,0.00295,-0.96593,0.25882,0.43388,-0.90097,chop,0.00339,0.00326,1.03756,-0.00497,-0.01765,0.00584,0.00462,1.26181,1.0
2026-05-21 20:00:00,77690.56,77804.75,77647.75,77705.81,144.76199,0.0002,0.00391,-0.00619,0.00857,0.00357,-0.0056,77569.19671,-136.61329,77705.81,0.0,77506.18788,-199.62212,77574.58591,-131.22409,157.0,440.305,0.0042,0.00293,-0.86603,0.5,0.43388,-0.90097,chop,0.00338,0.00326,1.03668,-0.00478,-0.01401,0.00567,0.00462,1.22656,1.0
2026-05-21 21:00:00,77705.8,77813.35,77645.4,77672.29,182.97007,-0.00043,0.0002,0.00391,-0.00619,-0.00067,-0.00012,77571.23817,-101.05183,77672.29,0.0,77522.00713,-150.28287,77607.15394,-65.13606,167.95,425.15429,0.00405,0.00293,-0.70711,0.70711,0.43388,-0.90097,chop,0.00333,0.00326,1.0207,-0.00521,-0.01401,0.00547,0.00461,1.18647,1.0
2026-05-21 22:00:00,77672.3,77750.61,77555.33,77628.0,130.38276,-0.00057,-0.00043,0.0002,0.00391,0.00857,0.00116,77572.36216,-55.63784,77628.0,0.0,77532.10169,-95.89831,77614.10263,-13.89737,195.28,416.64071,0.00365,0.00288,-0.5,0.86603,0.43388,-0.90097,chop,0.00333,0.00326,1.02183,-0.00577,-0.01401,0.00537,0.00461,1.16501,1.0
2026-05-21 23:00:00,77628.01,77745.39,77534.43,77615.52,159.99742,-0.00016,-0.00057,-0.00043,0.0002,-0.00619,-0.00202,77573.21677,-42.30323,77615.52,0.0,77540.04629,-75.47371,77614.57509,-0.94491,210.96,407.10143,0.00365,0.00287,-0.25882,0.96593,0.43388,-0.90097,chop,0.00333,0.00325,1.02646,-0.00593,-0.01401,0.00525,0.0046,1.14042,1.0
2026-05-22 00:00:00,77615.52,77628.38,77369.49,77373.57,228.62269,-0.00312,-0.00016,-0.00057,-0.00043,0.00391,-0.00179,77569.26337,195.69337,77373.57,0.0,77524.1914,150.6214,77534.24006,160.67006,258.89,390.74214,0.00378,0.00291,0.0,1.0,-0.43388,-0.90097,chop,0.00319,0.00323,0.98941,-0.00903,-0.01401,0.00505,0.00459,1.1004,0.0
2026-05-22 01:00:00,77373.57,77673.5,77327.28,77616.0,252.86608,0.00313,-0.00312,-0.00016,-0.00057,0.0002,0.00357,77570.18885,-45.81115,77616.0,0.0,77532.93508,-83.06492,77561.49337,-54.50663,346.22,399.41143,0.00381,0.00294,0.25882,0.96593,-0.43388,-0.90097,chop,0.00326,0.00322,1.01279,-0.00593,-0.01401,0.00515,0.00458,1.12382,1.0
2026-05-22 02:00:00,77616.0,77728.01,77593.16,77673.36,244.81122,0.00074,0.00313,-0.00312,-0.00016,-0.00043,-0.00067,77572.23184,-101.12816,77673.36,0.0,77546.30888,-127.05112,77598.78225,-74.57775,134.85,388.85786,0.00374,0.00293,0.5,0.86603,-0.43388,-0.90097,chop,0.00325,0.00321,1.01209,-0.00519,-0.01401,0.00501,0.00457,1.09603,1.0
2026-05-22 03:00:00,77673.37,77817.8,77673.36,77779.98,158.00162,0.00137,0.00074,0.00313,-0.00312,-0.00057,0.00857,77576.34567,-203.63433,77779.98,0.0,77568.56327,-211.41673,77659.1815,-120.7985,144.44,353.56214,0.00364,0.00293,0.70711,0.70711,-0.43388,-0.90097,chop,0.00325,0.00321,1.01203,-0.00383,-0.01401,0.00455,0.00455,0.99831,1.0
2026-05-22 04:00:00,77779.98,77900.0,77637.99,77655.42,475.76681,-0.0016,0.00137,0.00074,0.00313,-0.00016,-0.00619,77577.9115,-77.5085,77655.42,0.0,77576.83534,-78.58466,77657.92767,2.50767,262.01,339.99,0.00368,0.00295,0.86603,0.5,-0.43388,-0.90097,chop,0.00326,0.0032,1.01991,-0.00542,-0.01401,0.00438,0.00454,0.96362,1.0
2026-05-22 05:00:00,77655.43,77726.0,77454.56,77489.0,344.3172,-0.00214,-0.0016,0.00137,0.00074,-0.00312,0.00391,77576.15087,87.15087,77489.0,0.0,77568.47007,79.47007,77601.61844,112.61844,271.44,323.51286,0.00272,0.00286,0.96593,0.25882,-0.43388,-0.90097,chop,0.00325,0.00318,1.01953,-0.00755,-0.01401,0.00417,0.00453,0.92122,1.0
2026-05-22 06:00:00,77489.0,77525.85,77370.4,77423.41,542.83384,-0.00085,-0.00214,-0.0016,0.00137,0.00313,0.0002,77573.1263,149.7163,77423.41,0.0,77554.65483,131.24483,77542.21563,118.80563,155.45,310.66929,0.00204,0.00284,1.0,0.0,-0.43388,-0.90097,chop,0.00321,0.00318,1.00976,-0.00839,-0.01401,0.00401,0.00452,0.88731,1.0
2026-05-22 07:00:00,77423.41,77543.38,77288.77,77408.06,393.92568,-0.0002,-0.00085,-0.00214,-0.0016,0.00074,-0.00043,77569.85766,161.79766,77408.06,0.0,77540.69341,132.63341,77497.49709,89.43709,254.61,263.40357,0.00163,0.00283,0.96593,-0.25882,-0.43388,-0.90097,chop,0.00312,0.00317,0.98432,-0.00859,-0.01401,0.0034,0.00451,0.75439,0.0
2026-05-22 08:00:00,77408.07,77535.0,77216.0,77267.38,509.65577,-0.00182,-0.0002,-0.00085,-0.00214,0.00137,-0.00057,77563.868,296.488,77267.38,0.0,77514.66357,247.28357,77420.79139,153.41139,319.0,236.76,0.00168,0.00282,0.86603,-0.5,-0.43388,-0.90097,chop,0.00313,0.00316,0.98851,-0.01039,-0.01401,0.00306,0.0045,0.68129,0.0
2026-05-22 09:00:00,77267.39,77360.0,77200.0,77307.11,276.32946,0.00051,-0.00182,-0.0002,-0.00085,-0.0016,-0.00016,77558.78369,251.67369,77307.11,0.0,77494.89656,187.78656,77382.89759,75.78759,160.0,217.00714,0.0017,0.00282,0.70711,-0.70711,-0.43388,-0.90097,chop,0.00305,0.00316,0.96346,-0.00988,-0.01401,0.00281,0.00448,0.62611,0.0
2026-05-22 10:00:00,77307.12,77363.01,77261.73,77312.0,275.0182,6e-05,0.00051,-0.00182,-0.0002,-0.00214,-0.00312,77553.89688,241.89688,77312.0,0.0,77477.47784,165.47784,77359.26506,47.26506,101.28,213.02714,0.00171,0.00282,0.5,-0.86603,-0.43388,-0.90097,chop,0.00282,0.00315,0.89387,-0.00982,-0.01401,0.00276,0.00447,0.61654,0.0
2026-05-22 11:00:00,77311.99,77430.55,77184.45,77428.84,375.5311,0.00151,6e-05,0.00051,-0.00182,-0.00085,0.00313,77551.42051,122.58051,77428.84,0.0,77472.84566,44.00566,77382.45671,-46.38329,246.1,218.60929,0.00179,0.00282,0.25882,-0.96593,-0.43388,-0.90097,chop,0.00283,0.00316,0.89798,-0.00832,-0.01401,0.00282,0.00446,0.63362,0.0
2026-05-22 12:00:00,77428.83,77584.94,77395.45,77533.9,317.41573,0.00136,0.00151,6e-05,0.00051,-0.0002,0.00074,77551.07357,17.17357,77533.9,0.0,77478.66036,-55.23964,77432.93781,-100.96219,189.49,218.19571,0.00158,0.00279,0.0,-1.0,-0.43388,-0.90097,chop,0.00284,0.00315,0.90051,-0.00698,-0.01401,0.00281,0.00444,0.63353,0.0
